"pars","val","species"
"centre",54.229,"mytilus"
"w",200.071,"mytilus"
"left",0.019,"mytilus"
"right",0.933,"mytilus"
"sl",0.013,"mytilus"
"sc",0.111,"mytilus"
"sr",0.037,"mytilus"
"centre",124.704,"cod"
"w",96.44,"cod"
"left",0,"cod"
"right",1,"cod"
"sl",0,"cod"
"sc",-0.589,"cod"
"sr",0,"cod"
