"pars","val","species"
"centre",54.232,"mytilus"
"w",200.057,"mytilus"
"left",0.019,"mytilus"
"right",0.933,"mytilus"
"sl",0.013,"mytilus"
"sc",0.111,"mytilus"
"sr",0.037,"mytilus"
"centre",56.725,"cod"
"w",162.531,"cod"
"left",0,"cod"
"right",0.892,"cod"
"sl",0,"cod"
"sc",0,"cod"
"sr",0.125,"cod"
