"pars","val","species"
"centre",-793.174,"Corkwing_wrasse"
"w",113.927,"Corkwing_wrasse"
"left",0.016,"Corkwing_wrasse"
"right",0.983,"Corkwing_wrasse"
"sl",0.013,"Corkwing_wrasse"
"sc",0,"Corkwing_wrasse"
"sr",0.031,"Corkwing_wrasse"
"centre",-816.331,"Ballan_wrasse"
"w",403.304,"Ballan_wrasse"
"left",0.008,"Ballan_wrasse"
"right",0.94,"Ballan_wrasse"
"sl",0.017,"Ballan_wrasse"
"sc",0.105,"Ballan_wrasse"
"sr",0.073,"Ballan_wrasse"
"centre",-51.686,"Atlantic_cod"
"w",80.011,"Atlantic_cod"
"left",0.113,"Atlantic_cod"
"right",1,"Atlantic_cod"
"sl",0.091,"Atlantic_cod"
"sc",-0.011,"Atlantic_cod"
"sr",0,"Atlantic_cod"
"centre",-126.658,"Herring"
"w",1109.649,"Herring"
"left",0.004,"Herring"
"right",0.826,"Herring"
"sl",0,"Herring"
"sc",0.106,"Herring"
"sr",0.144,"Herring"
"centre",-228.296,"Turbot"
"w",202.522,"Turbot"
"left",0.013,"Turbot"
"right",0.827,"Turbot"
"sl",0.012,"Turbot"
"sc",0,"Turbot"
"sr",-0.083,"Turbot"
"centre",313.561,"Flounder"
"w",21.01,"Flounder"
"left",0.156,"Flounder"
"right",0.642,"Flounder"
"sl",0.109,"Flounder"
"sc",0.1,"Flounder"
"sr",0.358,"Flounder"
"centre",-26.24,"Mytilus"
"w",294.682,"Mytilus"
"left",0.042,"Mytilus"
"right",0.961,"Mytilus"
"sl",0.029,"Mytilus"
"sc",0.096,"Mytilus"
"sr",-0.023,"Mytilus"
"centre",225.706,"Limecola"
"w",36.379,"Limecola"
"left",0.291,"Limecola"
"right",0.69,"Limecola"
"sl",0.136,"Limecola"
"sc",0,"Limecola"
"sr",0.172,"Limecola"
"centre",-97.44,"Idotea"
"w",4775.704,"Idotea"
"left",-1.762,"Idotea"
"right",2.317,"Idotea"
"sl",0,"Idotea"
"sc",0,"Idotea"
"sr",0.081,"Idotea"
"centre",-140.041,"Europ_plaice"
"w",373.633,"Europ_plaice"
"left",-0.008,"Europ_plaice"
"right",1.05,"Europ_plaice"
"sl",0,"Europ_plaice"
"sc",0,"Europ_plaice"
"sr",0.053,"Europ_plaice"
"centre",-169.807,"Dab"
"w",336.346,"Dab"
"left",-0.005,"Dab"
"right",0.995,"Dab"
"sl",0,"Dab"
"sc",0.138,"Dab"
"sr",0,"Dab"
"centre",-56.123,"Small_sandeel"
"w",108.206,"Small_sandeel"
"left",0.076,"Small_sandeel"
"right",0.887,"Small_sandeel"
"sl",0.071,"Small_sandeel"
"sc",0,"Small_sandeel"
"sr",0.104,"Small_sandeel"
"centre",-123.422,"Greater_sandeel"
"w",18.633,"Greater_sandeel"
"left",0.032,"Greater_sandeel"
"right",1,"Greater_sandeel"
"sl",0.036,"Greater_sandeel"
"sc",0.018,"Greater_sandeel"
"sr",0,"Greater_sandeel"
"centre",27.323,"Skeletonema"
"w",636.919,"Skeletonema"
"left",-0.023,"Skeletonema"
"right",0.763,"Skeletonema"
"sl",0,"Skeletonema"
"sc",0.11,"Skeletonema"
"sr",0.187,"Skeletonema"
