"pars","val","species"
"centre",54.232,"Mytilus"
"w",200.057,"Mytilus"
"left",0.019,"Mytilus"
"right",0.933,"Mytilus"
"sl",0.013,"Mytilus"
"sc",0.111,"Mytilus"
"sr",0.037,"Mytilus"
"centre",129.322,"Cod"
"w",96.104,"Cod"
"left",0,"Cod"
"right",1,"Cod"
"sl",0,"Cod"
"sc",0.609,"Cod"
"sr",0,"Cod"
"centre",329.104,"Turbot"
"w",304.118,"Turbot"
"left",0.077,"Turbot"
"right",0.96,"Turbot"
"sl",-0.037,"Turbot"
"sc",0,"Turbot"
"sr",0.027,"Turbot"
"centre",-382.855,"Idotea"
"w",686.952,"Idotea"
"left",-0.108,"Idotea"
"right",0.916,"Idotea"
"sl",0,"Idotea"
"sc",0,"Idotea"
"sr",-0.1,"Idotea"
"centre",824.369,"Wrasse"
"w",92.22,"Wrasse"
"left",0.028,"Wrasse"
"right",0.994,"Wrasse"
"sl",0.017,"Wrasse"
"sc",0,"Wrasse"
"sr",0.005,"Wrasse"
"centre",-492.699,"Skeletonema"
"w",47.653,"Skeletonema"
"left",0,"Skeletonema"
"right",0.778,"Skeletonema"
"sl",0,"Skeletonema"
"sc",0.19,"Skeletonema"
"sr",0.178,"Skeletonema"
