"pars","val","species"
"centre",54.232,"Mytilus"
"w",200.057,"Mytilus"
"left",0.019,"Mytilus"
"right",0.933,"Mytilus"
"sl",0.013,"Mytilus"
"sc",0.111,"Mytilus"
"sr",0.037,"Mytilus"
"centre",135.458,"Cod"
"w",123.625,"Cod"
"left",0,"Cod"
"right",1,"Cod"
"sl",0,"Cod"
"sc",0.261,"Cod"
"sr",0,"Cod"
"centre",329.104,"Turbot"
"w",304.118,"Turbot"
"left",0.077,"Turbot"
"right",0.96,"Turbot"
"sl",-0.037,"Turbot"
"sc",0,"Turbot"
"sr",0.027,"Turbot"
"centre",-382.864,"Idotea"
"w",686.887,"Idotea"
"left",-0.108,"Idotea"
"right",0.916,"Idotea"
"sl",0,"Idotea"
"sc",0,"Idotea"
"sr",0.1,"Idotea"
"centre",824.369,"Wrasse"
"w",92.22,"Wrasse"
"left",0.028,"Wrasse"
"right",0.994,"Wrasse"
"sl",0.017,"Wrasse"
"sc",0,"Wrasse"
"sr",0.005,"Wrasse"
"centre",140.602,"Skeletonema"
"w",0.252,"Skeletonema"
"left",0.442,"Skeletonema"
"right",0.824,"Skeletonema"
"sl",0.326,"Skeletonema"
"sc",-0.374,"Skeletonema"
"sr",0.131,"Skeletonema"
"centre",107.559,"Macoma"
"w",1060.591,"Macoma"
"left",0.167,"Macoma"
"right",1.011,"Macoma"
"sl",0.102,"Macoma"
"sc",0.181,"Macoma"
"sr",0,"Macoma"
"centre",365.203,"Herring"
"w",839.901,"Herring"
"left",0.115,"Herring"
"right",1.003,"Herring"
"sl",0.119,"Herring"
"sc",0,"Herring"
"sr",0,"Herring"
