"phen_cline","sd_cline","position","species"
0.0190000000000932,0.0130000000001933,-1442,"mytilus"
0.0190000000001138,0.0130000000002361,-1432,"mytilus"
0.019000000000139,0.0130000000002884,-1422,"mytilus"
0.0190000000001698,0.0130000000003522,-1412,"mytilus"
0.0190000000002074,0.0130000000004301,-1402,"mytilus"
0.0190000000002533,0.0130000000005253,-1392,"mytilus"
0.0190000000003093,0.0130000000006416,-1382,"mytilus"
0.0190000000003778,0.0130000000007835,-1372,"mytilus"
0.0190000000004614,0.0130000000009569,-1362,"mytilus"
0.0190000000005635,0.0130000000011687,-1352,"mytilus"
0.0190000000006883,0.0130000000014274,-1342,"mytilus"
0.0190000000008406,0.0130000000017433,-1332,"mytilus"
0.0190000000010266,0.0130000000021291,-1322,"mytilus"
0.0190000000012538,0.0130000000026003,-1312,"mytilus"
0.0190000000015313,0.0130000000031758,-1302,"mytilus"
0.0190000000018702,0.0130000000038787,-1292,"mytilus"
0.0190000000022842,0.0130000000047371,-1282,"mytilus"
0.0190000000027897,0.0130000000057855,-1272,"mytilus"
0.0190000000034071,0.0130000000070659,-1262,"mytilus"
0.0190000000041611,0.0130000000086297,-1252,"mytilus"
0.0190000000050821,0.0130000000105396,-1242,"mytilus"
0.0190000000062068,0.0130000000128722,-1232,"mytilus"
0.0190000000075805,0.0130000000157211,-1222,"mytilus"
0.0190000000092581,0.0130000000192004,-1212,"mytilus"
0.0190000000113071,0.0130000000234498,-1202,"mytilus"
0.0190000000138096,0.0130000000286396,-1192,"mytilus"
0.0190000000168658,0.013000000034978,-1182,"mytilus"
0.0190000000205985,0.0130000000427191,-1172,"mytilus"
0.0190000000251573,0.0130000000521736,-1162,"mytilus"
0.019000000030725,0.0130000000637204,-1152,"mytilus"
0.019000000037525,0.0130000000778228,-1142,"mytilus"
0.0190000000458298,0.0130000000950462,-1132,"mytilus"
0.0190000000559727,0.0130000001160815,-1122,"mytilus"
0.0190000000683604,0.0130000001417722,-1112,"mytilus"
0.0190000000834897,0.0130000001731486,-1102,"mytilus"
0.0190000001019673,0.0130000002114692,-1092,"mytilus"
0.0190000001245342,0.0130000002582707,-1082,"mytilus"
0.0190000001520957,0.0130000003154302,-1072,"mytilus"
0.0190000001857569,0.01300000038524,-1062,"mytilus"
0.0190000002268679,0.0130000004704998,-1052,"mytilus"
0.0190000002770774,0.0130000005746289,-1042,"mytilus"
0.0190000003383991,0.0130000007018036,-1032,"mytilus"
0.0190000004132922,0.013000000857124,-1022,"mytilus"
0.0190000005047604,0.0130000010468193,-1012,"mytilus"
0.019000000616472,0.0130000012784972,-1002,"mytilus"
0.0190000007529072,0.0130000015614491,-992,"mytilus"
0.0190000009195377,0.0130000019070229,-982,"mytilus"
0.0190000011230461,0.0130000023290777,-972,"mytilus"
0.0190000013715943,0.0130000028445399,-962,"mytilus"
0.0190000016751502,0.0130000034740822,-952,"mytilus"
0.0190000020458878,0.0130000042429523,-942,"mytilus"
0.0190000024986757,0.0130000051819857,-932,"mytilus"
0.0190000030516728,0.0130000063288421,-922,"mytilus"
0.019000003727057,0.0130000077295162,-912,"mytilus"
0.0190000045519146,0.0130000094401817,-902,"mytilus"
0.0190000055593265,0.0130000115294447,-892,"mytilus"
0.0190000067896948,0.0130000140810947,-882,"mytilus"
0.0190000082923633,0.0130000171974651,-872,"mytilus"
0.0190000101275966,0.0130000210035374,-862,"mytilus"
0.0190000123689965,0.0130000256519531,-852,"mytilus"
0.0190000151064542,0.0130000313291356,-842,"mytilus"
0.0190000184497552,0.0130000382627663,-832,"mytilus"
0.0190000225329825,0.0130000467309159,-822,"mytilus"
0.0190000275198935,0.0130000570731953,-812,"mytilus"
0.019000033610488,0.013000069704376,-802,"mytilus"
0.0190000410490289,0.0130000851310228,-792,"mytilus"
0.0190000501338382,0.013000103971809,-782,"mytilus"
0.0190000612292616,0.013000126982326,-772,"mytilus"
0.0190000747802802,0.0130001550853835,-762,"mytilus"
0.0190000913303565,0.0130001894080147,-752,"mytilus"
0.0190001115432298,0.0130002313266695,-742,"mytilus"
0.0190001362295357,0.013000282522408,-732,"mytilus"
0.019000166379316,0.0130003450483055,-722,"mytilus"
0.0190002032017245,0.01300042141177,-712,"mytilus"
0.0190002481735199,0.0130005146750717,-702,"mytilus"
0.0190003030982903,0.0130006285781088,-692,"mytilus"
0.0190003701787864,0.0130007676883284,-682,"mytilus"
0.0190004521052609,0.0130009375838016,-672,"mytilus"
0.0190005521633611,0.0130011450767806,-662,"mytilus"
0.0190006743658974,0.013001398486677,-652,"mytilus"
0.0190008236137747,0.0130017079733752,-642,"mytilus"
0.0190010058925399,0.0130020859441905,-632,"mytilus"
0.0190012285124269,0.0130025475507142,-622,"mytilus"
0.0190015004015258,0.01300311129535,-612,"mytilus"
0.0190018324638327,0.0130037997716842,-602,"mytilus"
0.019002238016538,0.013004640568115,-592,"mytilus"
0.019002733324087,0.0130056673705779,-582,"mytilus"
